Dataset,Model,Accuracy (%),Precision (%),Recall (%),F1-score (%),Confusion Matrix
Colorectal,RandomOp Mixer,92.8,92.8,92.8,92.8,"[[464, 36], [36, 464]]"
Colorectal,ConvMixer,94.3,94.21,94.4,94.31,"[[471, 29], [28, 472]]"
Colorectal,Pruned ResNet-18,92.5,92.42,92.6,92.51,"[[462, 38], [37, 463]]"
Colorectal,BioGater,96.2,96.2,96.2,96.2,"[[481, 19], [19, 481]]"
PolypGen,RandomOp Mixer,91.4,91.4,91.4,91.4,"[[457, 43], [43, 457]]"
PolypGen,ConvMixer,93.2,93.2,93.2,93.2,"[[466, 34], [34, 466]]"
PolypGen,Pruned ResNet-18,92.5,92.42,92.6,92.51,"[[462, 38], [37, 463]]"
PolypGen,BioGater,95.8,95.8,95.8,95.8,"[[479, 21], [21, 479]]"
Cervical,RandomOp Mixer,89.7,89.78,89.6,89.69,"[[449, 51], [52, 448]]"
Cervical,ConvMixer,91.5,91.58,91.4,91.49,"[[458, 42], [43, 457]]"
Cervical,Pruned ResNet-18,90.8,90.8,90.8,90.8,"[[454, 46], [46, 454]]"
Cervical,BioGater,94.3,94.39,94.2,94.29,"[[472, 28], [29, 471]]"
Colonoscopy,RandomOp Mixer,98.5,98.6,98.4,98.5,"[[493, 7], [8, 492]]"
Colonoscopy,ConvMixer,99.4,99.4,99.4,99.4,"[[497, 3], [3, 497]]"
Colonoscopy,Pruned ResNet-18,95.4,95.4,95.4,95.4,"[[477, 23], [23, 477]]"
Colonoscopy,BioGater,99.5,99.6,99.4,99.5,"[[498, 2], [3, 497]]"
